FINCH.Epoch	visibilityVector.Active	
31041.5004282	0.0000000	
31041.5005440	0.0000000	
31041.5006597	0.0000000	
31041.5007755	0.0000000	
31041.5008912	0.0000000	
31041.5010069	0.0000000	
31041.5011227	0.0000000	
31041.5012384	0.0000000	
31041.5013542	0.0000000	
31041.5014699	0.0000000	
31041.5015856	0.0000000	
31041.5017014	0.0000000	
31041.5018171	0.0000000	
31041.5019329	0.0000000	
31041.5020486	0.0000000	
31041.5021644	0.0000000	
31041.5022801	0.0000000	
31041.5023958	0.0000000	
31041.5025116	0.0000000	
31041.5026273	0.0000000	
31041.5027431	0.0000000	
31041.5028588	0.0000000	
31041.5029745	0.0000000	
31041.5030903	0.0000000	
31041.5032060	0.0000000	
31041.5033218	0.0000000	
31041.5034375	0.0000000	
31041.5035532	0.0000000	
31041.5036690	0.0000000	
31041.5037847	0.0000000	
31041.5039005	0.0000000	
31041.5040162	0.0000000	
31041.5041319	0.0000000	
31041.5042477	0.0000000	
31041.5043634	0.0000000	
31041.5044792	0.0000000	
31041.5045949	0.0000000	
31041.5047106	0.0000000	
31041.5048264	0.0000000	
31041.5049421	0.0000000	
31041.5050579	0.0000000	
31041.5051736	0.0000000	
31041.5052894	0.0000000	
31041.5054051	0.0000000	
31041.5055208	0.0000000	
31041.5056366	0.0000000	
31041.5057523	0.0000000	
31041.5058681	0.0000000	
31041.5059838	0.0000000	
31041.5060995	0.0000000	
31041.5062153	0.0000000	
31041.5063310	0.0000000	
31041.5064468	0.0000000	
31041.5065625	0.0000000	
31041.5066782	0.0000000	
31041.5067940	0.0000000	
31041.5069097	0.0000000	
31041.5070255	0.0000000	
31041.5071412	0.0000000	
31041.5072569	0.0000000	
31041.5073727	0.0000000	
31041.5074884	0.0000000	
31041.5076042	0.0000000	
31041.5077199	0.0000000	
31041.5078356	0.0000000	
31041.5079514	0.0000000	
31041.5080671	0.0000000	
31041.5081829	0.0000000	
31041.5082986	0.0000000	
31041.5084144	0.0000000	
31041.5085301	0.0000000	
31041.5086458	0.0000000	
31041.5087616	0.0000000	
31041.5088773	0.0000000	
31041.5089931	0.0000000	
31041.5091088	0.0000000	
31041.5092245	0.0000000	
31041.5093403	0.0000000	
31041.5094560	0.0000000	
31041.5095718	0.0000000	
31041.5096875	0.0000000	
31041.5098032	0.0000000	
31041.5099190	0.0000000	
31041.5100347	0.0000000	
31041.5101505	0.0000000	
31041.5102662	0.0000000	
31041.5103819	0.0000000	
31041.5104977	0.0000000	
31041.5106134	0.0000000	
31041.5107292	0.0000000	
31041.5108449	0.0000000	
31041.5109606	0.0000000	
31041.5110764	0.0000000	
31041.5111921	0.0000000	
31041.5113079	0.0000000	
31041.5114236	0.0000000	
31041.5115394	0.0000000	
31041.5116551	0.0000000	
31041.5117708	0.0000000	
31041.5118866	0.0000000	
31041.5120023	0.0000000	
31041.5121181	0.0000000	
31041.5122338	0.0000000	
31041.5123495	0.0000000	
31041.5124653	0.0000000	
31041.5125810	0.0000000	
31041.5126968	0.0000000	
31041.5128125	0.0000000	
31041.5129282	0.0000000	
31041.5130440	0.0000000	
31041.5131597	0.0000000	
31041.5132755	0.0000000	
31041.5133912	0.0000000	
31041.5135069	0.0000000	
31041.5136227	0.0000000	
31041.5137384	0.0000000	
31041.5138542	0.0000000	
31041.5139699	0.0000000	
31041.5140856	0.0000000	
31041.5142014	0.0000000	
31041.5143171	0.0000000	
31041.5144329	0.0000000	
31041.5145486	0.0000000	
31041.5146644	0.0000000	
31041.5147801	0.0000000	
31041.5148958	0.0000000	
31041.5150116	0.0000000	
31041.5151273	0.0000000	
31041.5152431	0.0000000	
31041.5153588	0.0000000	
31041.5154745	0.0000000	
31041.5155903	0.0000000	
31041.5157060	0.0000000	
31041.5158218	0.0000000	
31041.5159375	0.0000000	
31041.5160532	0.0000000	
31041.5161690	0.0000000	
31041.5162847	0.0000000	
31041.5164005	0.0000000	
31041.5165162	0.0000000	
31041.5166319	0.0000000	
31041.5167477	0.0000000	
31041.5168634	0.0000000	
31041.5169792	0.0000000	
31041.5170949	0.0000000	
31041.5172106	0.0000000	
31041.5173264	0.0000000	
31041.5174421	0.0000000	
31041.5175579	0.0000000	
31041.5176736	0.0000000	
31041.5177894	0.0000000	
31041.5179051	0.0000000	
31041.5180208	0.0000000	
31041.5181366	0.0000000	
31041.5182523	0.0000000	
31041.5183681	0.0000000	
31041.5184838	0.0000000	
31041.5185995	0.0000000	
31041.5187153	0.0000000	
31041.5188310	0.0000000	
31041.5189468	0.0000000	
31041.5190625	0.0000000	
31041.5191782	0.0000000	
31041.5192940	0.0000000	
31041.5194097	0.0000000	
31041.5195255	0.0000000	
31041.5196412	0.0000000	
31041.5197569	0.0000000	
31041.5198727	0.0000000	
31041.5199884	0.0000000	
31041.5201042	0.0000000	
31041.5202199	0.0000000	
31041.5203356	0.0000000	
31041.5204514	0.0000000	
31041.5205671	0.0000000	
31041.5206829	0.0000000	
31041.5207986	0.0000000	
31041.5209144	0.0000000	
31041.5210301	0.0000000	
31041.5211458	0.0000000	
31041.5212616	0.0000000	
31041.5213773	0.0000000	
31041.5214931	0.0000000	
31041.5216088	0.0000000	
31041.5217245	0.0000000	
31041.5218403	0.0000000	
31041.5219560	0.0000000	
31041.5220718	0.0000000	
31041.5221875	0.0000000	
31041.5223032	0.0000000	
31041.5224190	0.0000000	
31041.5225347	0.0000000	
31041.5226505	0.0000000	
31041.5227662	0.0000000	
31041.5228819	0.0000000	
31041.5229977	0.0000000	
31041.5231134	0.0000000	
31041.5232292	0.0000000	
31041.5233449	0.0000000	
31041.5234606	0.0000000	
31041.5235764	0.0000000	
31041.5236921	0.0000000	
31041.5238079	0.0000000	
31041.5239236	0.0000000	
31041.5240394	0.0000000	
31041.5241551	0.0000000	
31041.5242708	0.0000000	
31041.5243866	0.0000000	
31041.5245023	0.0000000	
31041.5246181	0.0000000	
31041.5247338	0.0000000	
31041.5248495	0.0000000	
31041.5249653	0.0000000	
