"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 06:08:24.204,0.000,2.200032,-165.317,-137.012817,7.993609,112.275793,66.667,64.0367,62.2758,1.000000e-30
2 Jan 2026 06:08:47.934,0.000,2.200029,-164.877,-136.573256,7.993597,112.715342,66.667,64.4763,62.7153,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 06:10:04.604,0.000,2.200016,-163.720,-135.415865,7.993543,113.872679,66.667,65.6336,63.8727,1.000000e-30
2 Jan 2026 06:10:34.019,0.000,2.200009,-163.458,-135.153576,7.993518,114.134942,66.667,65.8959,64.1349,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 06:11:27.723,0.000,2.199996,-163.350,-135.045890,7.993467,114.242578,66.667,66.0035,64.2426,1.000000e-30
2 Jan 2026 06:11:36.691,0.000,2.199994,-163.382,-135.077534,7.993459,114.210926,66.667,65.9718,64.2109,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 17:37:17.804,0.000,2.200044,-159.633,-131.328779,7.993656,117.959878,66.667,69.7208,67.9599,1.000000e-30
2 Jan 2026 17:37:33.524,0.000,2.200041,-158.838,-130.533905,7.993646,118.754742,66.667,70.5157,68.7547,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 17:37:44.599,0.000,2.200039,-158.264,-129.960228,7.993637,119.328410,66.667,71.0893,69.3284,1.000000e-30
2 Jan 2026 17:38:07.641,0.000,2.200033,-157.072,-128.768147,7.993613,120.520467,66.667,72.2814,70.5205,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 17:39:07.858,0.000,2.200003,-155.046,-126.741752,7.993492,122.546741,66.667,74.3077,72.5467,1.000000e-30
2 Jan 2026 17:40:07.000,0.000,2.199970,-156.612,-128.307979,7.993365,120.980386,66.667,72.7413,70.9804,1.000000e-30
2 Jan 2026 17:40:46.057,0.000,2.199960,-158.613,-130.309317,7.993324,118.979008,66.667,70.7399,68.9790,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
