1 Jan 2026 17:58:32.000,30.000,14.499833,-140.941,-96.257556,20.000000,107.658538,32000.000,32.6070,35.6173,1.000000e-30
1 Jan 2026 17:59:25.783,30.000,14.499716,-144.183,-99.500294,20.000000,104.415801,32000.000,29.3643,32.3746,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2026 19:30:01.533,30.000,14.500078,-151.696,-107.012724,20.000000,96.903371,32000.000,21.8519,24.8622,1.000000e-30
1 Jan 2026 19:30:27.153,30.000,14.500045,-151.553,-106.869817,20.000000,97.046277,32000.000,21.9948,25.0051,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2026 19:31:47.426,30.000,14.499939,-151.611,-106.927555,20.000000,96.988539,32000.000,21.9370,24.9473,1.000000e-30
1 Jan 2026 19:32:01.052,30.000,14.499922,-151.696,-107.012627,20.000000,96.903467,32000.000,21.8520,24.8623,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2026 04:35:48.791,30.000,14.500235,-144.741,-100.057754,20.000000,103.858341,32000.000,28.8068,31.8171,1.000000e-30
2 Jan 2026 04:36:48.000,30.000,14.500078,-142.508,-97.824865,20.000000,106.091229,32000.000,31.0397,34.0500,1.000000e-30
2 Jan 2026 04:37:48.000,30.000,14.499858,-143.040,-98.356887,20.000000,105.559208,32000.000,30.5077,33.5180,1.000000e-30
