"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,12 Jan 2026 19:13:24.022,12 Jan 2026 19:15:36.787,132.765
81,13 Jan 2026 04:16:13.918,13 Jan 2026 04:22:54.951,401.034
82,13 Jan 2026 05:51:12.388,13 Jan 2026 05:56:23.924,311.536
83,13 Jan 2026 17:16:55.251,13 Jan 2026 17:21:46.391,291.141
84,13 Jan 2026 18:51:00.314,13 Jan 2026 18:57:37.041,396.727
85,14 Jan 2026 03:56:54.693,14 Jan 2026 04:03:50.220,415.527
86,14 Jan 2026 05:32:31.723,14 Jan 2026 05:38:03.132,331.409
87,14 Jan 2026 16:58:43.223,14 Jan 2026 16:58:47.823,4.600
88,14 Jan 2026 16:59:02.115,14 Jan 2026 17:03:37.854,275.739
89,14 Jan 2026 18:31:55.343,14 Jan 2026 18:38:24.862,389.519
90,15 Jan 2026 03:39:11.565,15 Jan 2026 03:39:20.476,8.911
91,15 Jan 2026 03:39:58.810,15 Jan 2026 03:44:16.660,257.851
92,15 Jan 2026 05:13:51.333,15 Jan 2026 05:19:31.206,339.874
93,15 Jan 2026 16:40:23.085,15 Jan 2026 16:41:20.450,57.364
94,15 Jan 2026 16:41:29.243,15 Jan 2026 16:45:34.548,245.304
95,15 Jan 2026 18:12:59.953,15 Jan 2026 18:19:15.836,375.883
96,16 Jan 2026 03:22:23.063,16 Jan 2026 03:22:24.252,1.188
97,16 Jan 2026 03:22:32.301,16 Jan 2026 03:23:04.857,32.556
98,16 Jan 2026 03:23:14.040,16 Jan 2026 03:23:33.103,19.063
99,16 Jan 2026 03:23:42.890,16 Jan 2026 03:24:21.567,38.677
100,16 Jan 2026 04:55:10.662,16 Jan 2026 05:00:50.987,340.324
101,16 Jan 2026 06:30:08.279,16 Jan 2026 06:31:26.745,78.466
102,16 Jan 2026 16:23:33.823,16 Jan 2026 16:23:36.085,2.261
103,16 Jan 2026 16:23:46.433,16 Jan 2026 16:24:19.010,32.577
104,16 Jan 2026 16:24:28.214,16 Jan 2026 16:24:35.087,6.873
105,16 Jan 2026 17:54:12.183,16 Jan 2026 18:00:06.258,354.075
106,16 Jan 2026 19:30:48.035,16 Jan 2026 19:31:06.509,18.474
107,16 Jan 2026 19:32:27.288,16 Jan 2026 19:32:32.547,5.259
108,17 Jan 2026 04:36:30.732,17 Jan 2026 04:42:03.454,332.722
109,17 Jan 2026 06:10:07.216,17 Jan 2026 06:13:07.371,180.155
110,17 Jan 2026 06:14:31.089,17 Jan 2026 06:14:38.189,7.100
111,17 Jan 2026 17:35:31.716,17 Jan 2026 17:40:56.935,325.219
112,17 Jan 2026 19:10:34.692,17 Jan 2026 19:12:30.931,116.239
113,17 Jan 2026 19:13:37.277,17 Jan 2026 19:15:49.076,131.799
114,18 Jan 2026 04:16:28.132,18 Jan 2026 04:23:08.333,400.201
115,18 Jan 2026 05:51:25.552,18 Jan 2026 05:56:36.765,311.213
116,18 Jan 2026 17:17:08.063,18 Jan 2026 17:21:59.202,291.140
117,18 Jan 2026 18:51:13.836,18 Jan 2026 18:57:51.042,397.206
118,19 Jan 2026 03:57:07.326,19 Jan 2026 04:04:03.734,416.407
119,19 Jan 2026 05:32:44.881,19 Jan 2026 05:38:16.134,331.253
120,19 Jan 2026 16:58:56.307,19 Jan 2026 16:59:01.620,5.313
121,19 Jan 2026 16:59:15.246,19 Jan 2026 17:03:50.607,275.361
122,19 Jan 2026 18:32:08.729,19 Jan 2026 18:38:38.351,389.622
123,20 Jan 2026 03:39:23.872,20 Jan 2026 03:39:34.129,10.256
124,20 Jan 2026 03:40:12.335,20 Jan 2026 03:44:31.185,258.850
125,20 Jan 2026 05:14:04.498,20 Jan 2026 05:19:44.317,339.818
126,20 Jan 2026 16:40:35.615,20 Jan 2026 16:41:33.922,58.307
127,20 Jan 2026 16:41:41.631,20 Jan 2026 16:45:47.237,245.606
128,20 Jan 2026 18:13:13.241,20 Jan 2026 18:19:29.335,376.094
129,21 Jan 2026 03:22:34.042,21 Jan 2026 03:22:37.567,3.526
