                                                                              27 Jan 2024 12:56:21
Place-BahenGS-Sensor-Sensor2-To-Satellite-Finch:  Access Summary Report


Sensor2-To-Finch
----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                      74    21 Jan 2026 17:55:03.563    21 Jan 2026 18:02:28.739           445.176
                      75    22 Jan 2026 04:34:27.911    22 Jan 2026 04:41:37.570           429.659
                      76    22 Jan 2026 06:10:43.390    22 Jan 2026 06:13:31.563           168.174
                      77    22 Jan 2026 17:36:23.821    22 Jan 2026 17:43:41.992           438.171
                      78    22 Jan 2026 19:12:09.111    22 Jan 2026 19:14:37.344           148.233
                      79    23 Jan 2026 04:16:10.952    23 Jan 2026 04:22:39.171           388.218
                      80    23 Jan 2026 05:50:31.793    23 Jan 2026 05:55:58.914           327.122
                      81    23 Jan 2026 17:17:54.654    23 Jan 2026 17:24:38.993           404.338
                      82    23 Jan 2026 18:52:18.709    23 Jan 2026 18:57:24.715           306.006
                      83    24 Jan 2026 03:58:13.883    24 Jan 2026 04:03:26.753           312.870
                      84    24 Jan 2026 05:31:05.751    24 Jan 2026 05:37:46.639           400.888
                      85    24 Jan 2026 16:59:40.953    24 Jan 2026 17:05:14.767           333.814
                      86    24 Jan 2026 18:33:05.007    24 Jan 2026 18:39:29.336           384.329
                      87    25 Jan 2026 03:40:55.867    25 Jan 2026 03:43:41.324           165.457
                      88    25 Jan 2026 05:12:01.522    25 Jan 2026 05:19:18.300           436.778
                      89    25 Jan 2026 16:42:03.124    25 Jan 2026 16:45:08.757           185.633
                      90    25 Jan 2026 18:14:05.839    25 Jan 2026 18:21:13.537           427.698
                      91    26 Jan 2026 04:53:13.742    26 Jan 2026 05:00:39.212           445.470
                      92    26 Jan 2026 17:55:16.769    26 Jan 2026 18:02:41.883           445.114
                      93    27 Jan 2026 04:34:40.891    27 Jan 2026 04:41:50.878           429.986
                      94    27 Jan 2026 06:10:58.324    27 Jan 2026 06:13:43.258           164.934
                      95    27 Jan 2026 17:36:36.916    27 Jan 2026 17:43:55.313           438.397
                      96    27 Jan 2026 19:12:23.755    27 Jan 2026 19:14:48.775           145.020
                      97    28 Jan 2026 04:16:23.734    28 Jan 2026 04:22:52.610           388.876
                      98    28 Jan 2026 05:50:45.667    28 Jan 2026 05:56:11.599           325.932
                      99    28 Jan 2026 17:18:07.607    28 Jan 2026 17:24:52.525           404.918
                     100    28 Jan 2026 18:52:32.389    28 Jan 2026 18:57:37.179           304.790
                     101    29 Jan 2026 03:58:26.379    29 Jan 2026 04:03:40.408           314.029
                     102    29 Jan 2026 05:31:19.303    29 Jan 2026 05:37:59.578           400.275
                     103    29 Jan 2026 16:59:53.666    29 Jan 2026 17:05:28.605           334.940
                     104    29 Jan 2026 18:33:18.459    29 Jan 2026 18:39:42.100           383.640
                     105    30 Jan 2026 03:41:07.520    30 Jan 2026 03:43:55.749           168.230
                     106    30 Jan 2026 05:12:14.861    30 Jan 2026 05:19:31.386           436.525
                     107    30 Jan 2026 16:42:15.025    30 Jan 2026 16:45:23.481           188.456
                     108    30 Jan 2026 18:14:19.156    30 Jan 2026 18:21:26.503           427.347
                     109    31 Jan 2026 04:53:26.901    31 Jan 2026 05:00:52.411           445.510
                     110    31 Jan 2026 17:55:29.977    31 Jan 2026 18:02:55.025           445.049
