                                                                              27 Jan 2024 12:58:45
Place-BahenGS-Sensor-Sensor2-To-Satellite-Finch:  Access Summary Report


Sensor2-To-Finch
----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jan 2026 04:52:49.274     1 Jan 2026 04:58:51.047           361.772
                       2     1 Jan 2026 17:54:52.907     1 Jan 2026 18:00:54.875           361.969
                       3     2 Jan 2026 04:34:19.240     2 Jan 2026 04:40:00.287           341.047
                       4     2 Jan 2026 17:36:14.875     2 Jan 2026 17:42:06.203           351.328
                       5     3 Jan 2026 04:16:09.454     3 Jan 2026 04:20:55.027           285.573
                       6     3 Jan 2026 05:50:40.417     3 Jan 2026 05:54:03.040           202.623
                       7     3 Jan 2026 17:17:51.623     3 Jan 2026 17:22:57.061           305.437
                       8     3 Jan 2026 18:52:34.074     3 Jan 2026 18:55:25.514           171.440
                       9     4 Jan 2026 03:58:34.349     4 Jan 2026 04:01:20.968           166.619
                      10     4 Jan 2026 05:30:59.131     4 Jan 2026 05:36:06.330           307.200
                      11     4 Jan 2026 16:59:56.098     4 Jan 2026 17:03:14.451           198.353
                      12     4 Jan 2026 18:33:01.346     4 Jan 2026 18:37:48.924           287.578
                      13     5 Jan 2026 05:11:50.610     5 Jan 2026 05:17:42.617           352.007
                      14     5 Jan 2026 18:13:56.550     5 Jan 2026 18:19:38.531           341.981
                      15     6 Jan 2026 04:53:02.417     6 Jan 2026 04:59:04.253           361.837
                      16     6 Jan 2026 17:55:06.109     6 Jan 2026 18:01:08.022           361.913
                      17     7 Jan 2026 04:34:32.168     7 Jan 2026 04:40:13.639           341.472
                      18     7 Jan 2026 17:36:27.928     7 Jan 2026 17:42:19.566           351.638
                      19     8 Jan 2026 04:16:22.106     8 Jan 2026 04:21:08.587           286.482
                      20     8 Jan 2026 05:50:54.648     8 Jan 2026 05:54:15.360           200.712
                      21     8 Jan 2026 17:18:04.464     8 Jan 2026 17:23:10.703           306.239
                      22     8 Jan 2026 18:52:48.226     8 Jan 2026 18:55:37.503           169.277
                      23     9 Jan 2026 03:58:46.324     9 Jan 2026 04:01:35.141           168.817
                      24     9 Jan 2026 05:31:12.767     9 Jan 2026 05:36:19.176           306.409
                      25     9 Jan 2026 17:00:08.398     9 Jan 2026 17:03:28.698           200.300
                      26     9 Jan 2026 18:33:14.904     9 Jan 2026 18:38:01.579           286.675
                      27    10 Jan 2026 05:12:03.970    10 Jan 2026 05:17:55.673           351.703
                      28    10 Jan 2026 18:14:09.901    10 Jan 2026 18:19:51.460           341.559
                      29    11 Jan 2026 04:53:15.561    11 Jan 2026 04:59:17.459           361.898
                      30    11 Jan 2026 17:55:19.314    11 Jan 2026 18:01:21.167           361.853
                      31    12 Jan 2026 04:34:45.099    12 Jan 2026 04:40:26.991           341.892
                      32    12 Jan 2026 17:36:40.984    12 Jan 2026 17:42:32.927           351.943
                      33    13 Jan 2026 04:16:34.762    13 Jan 2026 04:21:22.147           287.384
                      34    13 Jan 2026 05:51:08.896    13 Jan 2026 05:54:27.670           198.774
                      35    13 Jan 2026 17:18:17.309    13 Jan 2026 17:23:24.343           307.033
                      36    13 Jan 2026 18:53:02.396    13 Jan 2026 18:55:49.478           167.082
                      37    14 Jan 2026 03:58:58.316    14 Jan 2026 04:01:49.290           170.974
                      38    14 Jan 2026 05:31:26.409    14 Jan 2026 05:36:32.020           305.611
                      39    14 Jan 2026 17:00:20.713    14 Jan 2026 17:03:42.938           202.225
                      40    14 Jan 2026 18:33:28.468    14 Jan 2026 18:38:14.231           285.764
                      41    15 Jan 2026 05:12:17.333    15 Jan 2026 05:18:08.729           351.395
                      42    15 Jan 2026 18:14:23.256    15 Jan 2026 18:20:04.387           341.131
                      43    16 Jan 2026 04:53:28.710    16 Jan 2026 04:59:30.664           361.955
                      44    16 Jan 2026 17:55:32.522    16 Jan 2026 18:01:34.311           361.789
                      45    17 Jan 2026 04:34:58.034    17 Jan 2026 04:40:40.342           342.308
                      46    17 Jan 2026 17:36:54.042    17 Jan 2026 17:42:46.286           352.244
                      47    18 Jan 2026 04:16:47.423    18 Jan 2026 04:21:35.702           288.279
